name;url;colocated
Hacktech;https://hacktech.devpost.com/;True
Hack the Planet;https://htp-s2015.devpost.com/;True
BoilerMake 2014;https://boilermake2014.devpost.com/;True
HackMTY 2017;https://hackmty-2017.devpost.com/;True
HackDartmouth IV;https://hackdartmouthiv.devpost.com/;True
HackDavis;https://hackdavis.devpost.com/;True
Local Hack Day 2015;https://localhackday2015.devpost.com/;False
TechCrunch Disrupt NYC 2015;https://disruptnyc2015.devpost.com/;True
def hacks();https://def-hacks.devpost.com/;True
HackUCI 2018;https://hackuci2018.devpost.com/;True
MontyHacks;https://montyhacks-i.devpost.com/;True
Lenovo Scholar Network 2018 National App Development Competition;https://lsn2018.devpost.com/;False
Cal Hacks 2.0;https://cal-hacks2.devpost.com/;True
Hack Western 2015;https://hackwestern.devpost.com/;True
HackRPI 2016;https://hackrpi2016.devpost.com/;True
hackCWRU V;https://hackcwru-v.devpost.com/;True
Digital Women Code Camp;https://dw-codecamp.devpost.com/;True
Apps for Science;https://appsforscience.devpost.com/;False
Hack Cambridge Recurse;https://recurse.devpost.com/;True
The Dashing Widget Challenge;https://dashing.devpost.com/;False
Hello World 2017;https://hello-world-2k17.devpost.com/;True
International Development Hackathon 2016;https://idhack16.devpost.com/;True
LA Hacks 2016;https://lahacks2016.devpost.com/;True
UCI Data Science Hackathon;https://ucidatahackathon.devpost.com/;True
IC Hack 18;https://ic-hack-18.devpost.com/;True
Hack Western 3;https://hackwestern3.devpost.com/;True
DemonHacks;https://demonhacks.devpost.com/;True
Local Hack Day III;https://localhackdayiii.devpost.com/;True
PennApps XVII;https://pennapps-xvii.devpost.com/;True
2017 HITLAB World Cup of Voice-Activated Technology in Diabetes presented by Novo Nordisk;https://2017hitlabworldcup.devpost.com/;False
HackHolyoke;https://hackholyoke2017.devpost.com/;True
Hack the North 2016;https://hackthenorth2016.devpost.com/;True
Spotless Hack @ the G;https://spotless-hack-the-g.devpost.com/;True
